Postal Code,Name,Poverty Estimate,Poverty Percent
CO,Hinsdale County,58,7.2
CO,Huerfano County,"1,337",19.9
CO,Jackson County,161,11.6
CO,Jefferson County,"34,963",6.1
CO,Kiowa County,173,12.0
CO,Kit Carson County,764,10.8
CO,Lake County,831,10.6
CO,La Plata County,"5,447",10.0
CO,Larimer County,"34,579",9.9
CO,Las Animas County,"2,245",16.4
CO,Lincoln County,727,15.6
CO,Logan County,"2,420",13.1
CO,Mesa County,"16,752",11.1
CO,Mineral County,67,8.7
CO,Moffat County,"1,290",9.9
CO,Montezuma County,"3,374",12.9
CO,Montrose County,"4,477",10.4
CO,Morgan County,"2,969",10.5
CO,Otero County,"3,116",17.6
CO,Ouray County,333,6.7
CO,Park County,"1,476",7.8
CO,Phillips County,440,10.2
CO,Pitkin County,"1,136",6.4
CO,Prowers County,"1,910",16.2
CO,Pueblo County,"23,367",14.1
CO,Rio Blanco County,597,9.8
CO,Rio Grande County,"1,475",13.3
CO,Routt County,"1,595",6.3
CO,Saguache County,"1,284",18.6
CO,San Juan County,84,11.3
CO,San Miguel County,611,7.6
CO,Sedgwick County,294,13.2
CO,Summit County,"1,866",6.1
CO,Teller County,"1,856",7.3
CO,Washington County,551,11.8
CO,Weld County,"29,123",8.9
CO,Yuma County,"1,124",11.5
CT,Connecticut,"333,435",9.7
CT,Fairfield County,"81,309",8.8
CT,Hartford County,"92,518",10.7
CT,Litchfield County,"13,160",7.4
CT,Middlesex County,"12,020",7.7
CT,New Haven County,"92,869",11.2
CT,New London County,"20,478",8.0
CT,Tolland County,"9,362",6.9
CT,Windham County,"11,719",10.4
DE,Delaware,"104,400",10.9
DE,Kent County,"23,168",13.0
DE,New Castle County,"55,026",10.1
DE,Sussex County,"26,206",11.0
DC,District of Columbia,"101,959",15.0
DC,District of Columbia,"101,959",15.0
FL,Florida,"2,642,642",12.4
FL,Alachua County,"44,315",17.2
FL,Baker County,"3,416",12.8
FL,Bay County,"20,719",12.4
FL,Bradford County,"4,242",17.5
FL,Brevard County,"59,282",9.9
FL,Broward County,"214,119",11.0
FL,Calhoun County,"2,512",20.3
FL,Charlotte County,"18,781",9.8
FL,Citrus County,"18,933",12.6
FL,Clay County,"19,482",8.9
FL,Collier County,"39,254",10.1
FL,Columbia County,"10,444",15.6
FL,DeSoto County,"7,387",20.8
FL,Dixie County,"3,538",23.2
FL,Duval County,"143,438",15.2
FL,Escambia County,"41,047",13.5
FL,Flagler County,"11,058",9.4
FL,Franklin County,"1,998",19.1
FL,Gadsden County,"9,356",21.9
FL,Gilchrist County,"2,555",14.5
FL,Glades County,"2,302",18.1
FL,Gulf County,"1,977",15.1
FL,Hamilton County,"2,846",24.2
FL,Hardee County,"5,373",21.2
FL,Hendry County,"9,651",22.9
FL,Hernando County,"24,571",12.5
FL,Highlands County,"16,905",16.1
FL,Hillsborough County,"175,650",11.9
FL,Holmes County,"3,651",20.5
FL,Indian River County,"13,959",8.7
FL,Jackson County,"7,738",19.5
FL,Jefferson County,"2,281",17.2
FL,Lafayette County,"1,494",20.7
FL,Lake County,"34,282",9.2
FL,Lee County,"81,863",10.5
FL,Leon County,"49,598",17.6
FL,Levy County,"7,055",16.9
FL,Liberty County,"1,342",21.2
FL,Madison County,"3,969",23.8
FL,Manatee County,"44,512",10.9
FL,Marion County,"55,608",15.3
FL,Martin County,"17,627",11.1
FL,Miami-Dade County,"399,797",15.0
FL,Monroe County,"7,404",10.2
FL,Nassau County,"7,348",8.1
FL,Okaloosa County,"19,813",9.6
FL,Okeechobee County,"6,933",17.7
FL,Orange County,"174,206",12.7
FL,Osceola County,"45,150",11.8
FL,Palm Beach County,"178,480",12.0
FL,Pasco County,"64,340",11.4
FL,Pinellas County,"106,309",11.1
FL,Polk County,"104,836",14.4
FL,Putnam County,"17,792",24.3
FL,St. Johns County,"22,314",8.1
FL,St. Lucie County,"45,996",13.8
FL,Santa Rosa County,"17,152",9.4
FL,Sarasota County,"37,949",8.7
FL,Seminole County,"37,499",8.0
FL,Sumter County,"16,128",12.3
FL,Suwannee County,"7,489",17.7
FL,Taylor County,"3,680",19.3
FL,Union County,"2,139",20.7
FL,Volusia County,"63,322",11.6
FL,Wakulla County,"3,204",10.3
FL,Walton County,"8,470",11.4
FL,Washington County,"4,763",20.4
GA,Georgia,"1,465,328",14.0
GA,Appling County,"3,550",19.9
GA,Atkinson County,"1,801",21.6
GA,Bacon County,"2,261",21.1
GA,Baker County,701,23.7
GA,Baldwin County,"8,910",22.6
GA,Banks County,"2,245",11.6
GA,Barrow County,"8,629",10.1
GA,Bartow County,"10,991",10.2
GA,Ben Hill County,"3,636",22.3
GA,Berrien County,"3,610",18.9
GA,Bibb County,"40,946",28.0
GA,Bleckley County,"2,134",18.5
GA,Brantley County,"3,386",17.8
GA,Brooks County,"3,140",20.6
GA,Bryan County,"3,249",8.0
GA,Bulloch County,"15,342",20.7
GA,Burke County,"4,455",20.0
GA,Butts County,"4,651",20.8
GA,Calhoun County,"1,555",34.4
GA,Camden County,"5,021",9.4
GA,Candler County,"2,143",20.1
GA,Carroll County,"19,693",16.8
GA,Catoosa County,"6,796",10.1
GA,Charlton County,"2,781",25.5
GA,Chatham County,"43,011",15.6
GA,Chattahoochee County,"1,222",15.6
GA,Chattooga County,"4,431",18.8
GA,Cherokee County,"17,630",6.7
GA,Clarke County,"28,845",24.6
GA,Clay County,675,24.1
GA,Clayton County,"48,136",16.8
GA,Clinch County,"1,326",20.4
GA,Cobb County,"69,097",9.2
GA,Coffee County,"9,184",23.1
GA,Colquitt County,"9,078",20.4
GA,Columbia County,"10,629",6.7
GA,Cook County,"3,340",19.5
GA,Coweta County,"12,862",8.6
GA,Crawford County,"1,941",16.1
GA,Crisp County,"5,282",24.5
GA,Dade County,"1,954",13.0
GA,Dawson County,"2,332",8.7
GA,Decatur County,"6,495",25.6
GA,DeKalb County,"118,345",15.8
GA,Dodge County,"3,980",21.4
GA,Dooly County,"3,040",27.0
GA,Dougherty County,"22,686",27.4
